"B. Radikale Venstre";"Varde";1106;1937;753
"B. Radikale Venstre";"Vejen";850;1571;548
"B. Radikale Venstre";"Vejle";2954;5842;2739
"B. Radikale Venstre";"Aabenraa";1081;2092;1175
"B. Radikale Venstre";"Favrskov";1428;2578;1270
"B. Radikale Venstre";"Hedensted";868;1833;741
"B. Radikale Venstre";"Horsens";1788;4242;1808
"B. Radikale Venstre";"Norddjurs";745;1462;428
"B. Radikale Venstre";"Odder";708;1328;531
"B. Radikale Venstre";"Randers";1890;3779;1533
"B. Radikale Venstre";"Samsø";130;201;57
"B. Radikale Venstre";"Silkeborg";2356;5144;2150
"B. Radikale Venstre";"Skanderborg";1819;3772;1849
"B. Radikale Venstre";"Syddjurs";1118;2385;830
"B. Radikale Venstre";"Aarhus";14427;28770;14829
"B. Radikale Venstre";"Herning";2208;3901;1561
"B. Radikale Venstre";"Holstebro";1390;2516;1017
"B. Radikale Venstre";"Ikast-Brande";756;1525;515
"B. Radikale Venstre";"Lemvig";504;883;288
"B. Radikale Venstre";"Ringkøbing-Skjern";1222;2081;681
"B. Radikale Venstre";"Skive";1431;2281;922
"B. Radikale Venstre";"Struer";465;887;283
"B. Radikale Venstre";"Viborg";2444;4872;1766
"B. Radikale Venstre";"Brønderslev";710;1467;550
"B. Radikale Venstre";"Frederikshavn";1079;1891;776
"B. Radikale Venstre";"Hjørring";1596;2665;1070
"B. Radikale Venstre";"Jammerbugt";733;1394;494
"B. Radikale Venstre";"Læsø";46;79;25
"B. Radikale Venstre";"Mariagerfjord";974;1715;761
"B. Radikale Venstre";"Morsø";591;766;233
"B. Radikale Venstre";"Rebild";842;1438;730
"B. Radikale Venstre";"Thisted";1074;1688;525
"B. Radikale Venstre";"Vesthimmerlands";671;1355;473
"B. Radikale Venstre";"Aalborg";6090;11258;5702
"C. Det Konservative Folkeparti";"København";26911;14997;8430
"C. Det Konservative Folkeparti";"Frederiksberg";10250;6285;3831
"C. Det Konservative Folkeparti";"Dragør";1561;884;528
"C. Det Konservative Folkeparti";"Tårnby";2089;1096;682
"C. Det Konservative Folkeparti";"Albertslund";1059;547;339
"C. Det Konservative Folkeparti";"Ballerup";2778;1385;674
"C. Det Konservative Folkeparti";"Brøndby";1465;678;309
"C. Det Konservative Folkeparti";"Gentofte";12080;6755;4553
"C. Det Konservative Folkeparti";"Gladsaxe";4144;2162;1225
"C. Det Konservative Folkeparti";"Glostrup";1357;639;334
"C. Det Konservative Folkeparti";"Herlev";1688;872;540
"C. Det Konservative Folkeparti";"Hvidovre";2492;1298;730
"C. Det Konservative Folkeparti";"Høje-Taastrup";3209;1798;1345
"C. Det Konservative Folkeparti";"Ishøj";752;380;187
"C. Det Konservative Folkeparti";"Lyngby-Taarbæk";6269;3275;2360
"C. Det Konservative Folkeparti";"Rødovre";1953;1012;611
"C. Det Konservative Folkeparti";"Vallensbæk";1651;962;633
"C. Det Konservative Folkeparti";"Allerød";2566;1362;1171
"C. Det Konservative Folkeparti";"Egedal";3675;1590;1113
"C. Det Konservative Folkeparti";"Fredensborg";3535;1965;1357
"C. Det Konservative Folkeparti";"Frederikssund";3004;1187;872
"C. Det Konservative Folkeparti";"Furesø";3660;1888;1334
"C. Det Konservative Folkeparti";"Gribskov";2504;1091;792
"C. Det Konservative Folkeparti";"Halsnæs";1458;681;441
"C. Det Konservative Folkeparti";"Helsingør";4425;2436;2388
"C. Det Konservative Folkeparti";"Hillerød";3724;1845;1238
"C. Det Konservative Folkeparti";"Hørsholm";3861;2251;1726
"C. Det Konservative Folkeparti";"Rudersdal";6255;3469;2691
"C. Det Konservative Folkeparti";"Bornholm";1682;579;440
"C. Det Konservative Folkeparti";"Christiansø";6;1;1
"C. Det Konservative Folkeparti";"Greve";2820;1726;889
